Year,country,Origin,value
1975,Argentina,Bolivia (Plurinational State of),90
1975,Argentina,Chile,14400
1975,Argentina,Uruguay,570
1975,Burundi,Rwanda,49500
1975,Botswana,Angola,1790
1975,Botswana,Lesotho,190
1975,Botswana,Namibia,150
1975,Botswana,South Africa,190
1975,Botswana,Zimbabwe,80
1975,Côte d'Ivoire,Guinea,300000
1975,Cameroon,Equatorial Guinea,30000
1975,Dem. Rep. of the Congo,Angola,460000
1975,Dem. Rep. of the Congo,Burundi,24000
1975,Dem. Rep. of the Congo,Rwanda,24300
1975,Dem. Rep. of the Congo,Zambia,750
1975,Congo,Angola,5000
1975,Algeria,Chile,350
1975,Algeria,Western Sahara,20000
1975,Ethiopia,Sudan,11000
1975,Gabon,Equatorial Guinea,60000
1975,Greece,Greece,510
1975,Kenya,Ethiopia,300
1975,Kenya,Mozambique,600
1975,Kenya,Namibia,100
1975,Kenya,Rwanda,700
1975,Kenya,South Africa,90
1975,Kenya,Zimbabwe,60
1975,Lesotho,South Africa,190
1975,Morocco,Czech Rep.,50
1975,Morocco,Spain,140
1975,Morocco,Hungary,70
1975,Morocco,Poland,60
1975,Morocco,Russian Federation,70
1975,Mozambique,Malawi,30000
1975,Mozambique,South Africa,70
1975,Mozambique,Zimbabwe,14500
1975,Nepal,Tibetan,8200
1975,Peru,Chile,600
1975,Philippines,Viet Nam,690
1975,Rwanda,Burundi,7400
1975,Sudan,Dem. Rep. of the Congo,4500
1975,Sudan,Ethiopia,91000
1975,Senegal,Guinea-Bissau,46000
1975,Thailand,Cambodia,18830
1975,Thailand,Lao People's Dem. Rep.,55510
1975,Thailand,Viet Nam,1420
1975,Turkey,Albania,380
1975,Turkey,Bulgaria,300
1975,Turkey,Hungary,70
1975,Turkey,Romania,70
1975,Turkey,Serbia and Kosovo (S/RES/1244 (1999)),120
1975,United Rep. of Tanzania,Burundi,110540
1975,United Rep. of Tanzania,Dem. Rep. of the Congo,400
1975,United Rep. of Tanzania,Mozambique,33700
1975,United Rep. of Tanzania,Malawi,80
1975,United Rep. of Tanzania,Rwanda,23100
1975,United Rep. of Tanzania,Uganda,2300
1975,United Rep. of Tanzania,South Africa,60
1975,United Rep. of Tanzania,Zimbabwe,80
1975,Uganda,Dem. Rep. of the Congo,34450
1975,Uganda,Rwanda,78120
1975,Zambia,Angola,30040
1975,Zambia,Dem. Rep. of the Congo,60
1975,Zambia,Congo,110
1975,Zambia,Ethiopia,110
1975,Zambia,Kenya,90
1975,Zambia,Lesotho,120
1975,Zambia,Mozambique,450
1975,Zambia,Malawi,270
1975,Zambia,Namibia,3720
1975,Zambia,Somalia,110
1975,Zambia,Uganda,210
1975,Zambia,South Africa,760
