country,value,Continent
Bolivia (Plurinational State of),90,
Western Sahara,20000,
Czech Rep.,50,
Tibetan,8200,
Viet Nam,690,
Dem. Rep. of the Congo,4500,
Lao People's Dem. Rep.,55510,
Serbia and Kosovo (S/RES/1244 (1999)),120,
Palestinian,3200,
United Rep. of Tanzania,90,
Myanmar,160000,
Dominican Rep.,50,
Syrian Arab Rep.,500,
Iran (Islamic Rep. of),48,
Stateless,8,
Central African Rep.,15000,
Burkina Faso,50,
Côte d'Ivoire,1,
United States of America,1,
Rep. of Korea,5,
Venezuela (Bolivarian Republic of),1,
Cabo Verde,1,
French Guiana,5,
"China, Hong Kong SAR",2,
Rep. of Moldova,2,
The former Yugoslav Republic of Macedonia,2,
Puerto Rico,12,
Dem. People's Rep. of Korea,2,
Martinique,1,
Brunei Darussalam,3,
"China, Macao SAR",1,
Bermuda,1,
Timor-Leste,162472,
Holy See (the),2,
French Polynesia,1,
Turks and Caicos Islands,1,
Gibraltar,1,
Cook Islands,1,
Cayman Islands,1,
Niue,7,
Curaçao,35,
British Virgin Islands,0,
Guadeloupe,0,
Anguilla,1,
Norfolk Island,1,
Wallis and Futuna Islands ,0,
Saint-Pierre-et-Miquelon,0,
Svalbard and Jan Mayen,0,
Micronesia (Federated States of),0,
American Samoa,0,
Guam,0,
