Year,country,Origin,value
2015,Aruba,Colombia,1
2015,Aruba,Cuba,1
2015,Afghanistan,Afghanistan,0
2015,Afghanistan,Iran (Islamic Rep. of),30
2015,Afghanistan,Iraq,1
2015,Afghanistan,Kazakhstan,0
2015,Afghanistan,Pakistan,257523
2015,Afghanistan,Tajikistan,0
2015,Afghanistan,Uzbekistan,0
2015,Angola,Afghanistan,0
2015,Angola,Burundi,9
2015,Angola,Central African Rep.,9
2015,Angola,Côte d'Ivoire,510
2015,Angola,Cameroon,1
2015,Angola,Dem. Rep. of the Congo,12944
2015,Angola,Congo,4
2015,Angola,Djibouti,0
2015,Angola,Algeria,1
2015,Angola,Eritrea,34
2015,Angola,Western Sahara,18
2015,Angola,Ethiopia,1
2015,Angola,Guinea,107
2015,Angola,Gambia,0
2015,Angola,Guinea-Bissau,1
2015,Angola,Haiti,1
2015,Angola,Iraq,0
2015,Angola,Liberia,155
2015,Angola,Libya,1
2015,Angola,Mali,2
2015,Angola,Mauritania,306
2015,Angola,Mauritius,0
2015,Angola,Nigeria,0
2015,Angola,Dem. People's Rep. of Korea,0
2015,Angola,Rwanda,273
2015,Angola,Sudan,313
2015,Angola,Senegal,0
2015,Angola,Sierra Leone,374
2015,Angola,Somalia,288
2015,Angola,Chad,184
2015,Angola,Togo,1
2015,Angola,United Rep. of Tanzania,4
2015,Angola,Uganda,6
2015,Angola,South Africa,1
2015,Angola,Zambia,7
2015,Angola,Zimbabwe,0
2015,Anguilla,Syrian Arab Rep.,1
2015,Albania,Armenia,0
2015,Albania,China,11
2015,Albania,Dem. Rep. of the Congo,0
2015,Albania,Egypt,3
2015,Albania,Iran (Islamic Rep. of),9
2015,Albania,Iraq,3
2015,Albania,Montenegro,2
2015,Albania,Peru,1
2015,Albania,Palestinian,4
2015,Albania,Russian Federation,1
2015,Albania,Serbia and Kosovo (S/RES/1244 (1999)),59
2015,Albania,Syrian Arab Rep.,3
2015,Albania,Turkey,4
2015,Albania,Ukraine,0
2015,Albania,Uzbekistan,4
2015,United Arab Emirates,Ethiopia,7
2015,United Arab Emirates,Iran (Islamic Rep. of),1
2015,United Arab Emirates,Iraq,589
2015,United Arab Emirates,Palestinian,1
2015,United Arab Emirates,Sudan,5
2015,United Arab Emirates,Somalia,21
2015,United Arab Emirates,Syrian Arab Rep.,36
2015,United Arab Emirates,Stateless,3
2015,Argentina,Afghanistan,5
2015,Argentina,Angola,14
2015,Argentina,Albania,20
2015,Argentina,Armenia,79
2015,Argentina,Burundi,3
2015,Argentina,Benin,1
2015,Argentina,Bangladesh,5
2015,Argentina,Bulgaria,2
2015,Argentina,Bosnia and Herzegovina,6
2015,Argentina,Belarus,1
2015,Argentina,Bolivia (Plurinational State of),3
2015,Argentina,Brazil,1
2015,Argentina,Central African Rep.,2
2015,Argentina,Chile,36
2015,Argentina,China,2
2015,Argentina,Côte d'Ivoire,21
2015,Argentina,Cameroon,6
2015,Argentina,Dem. Rep. of the Congo,23
2015,Argentina,Congo,5
2015,Argentina,Colombia,541
2015,Argentina,Costa Rica,5
2015,Argentina,Cuba,265
2015,Argentina,Dominican Rep.,1
2015,Argentina,Algeria,34
2015,Argentina,Ecuador,17
2015,Argentina,Egypt,4
2015,Argentina,Eritrea,2
2015,Argentina,Spain,0
2015,Argentina,Ethiopia,3
2015,Argentina,Georgia,3
2015,Argentina,Ghana,42
2015,Argentina,Guinea,8
2015,Argentina,Gambia,1
2015,Argentina,Guinea-Bissau,15
2015,Argentina,Guatemala,1
2015,Argentina,Honduras,4
2015,Argentina,Croatia,1
2015,Argentina,Haiti,65
2015,Argentina,Hungary,1
2015,Argentina,India,23
2015,Argentina,Ireland,0
2015,Argentina,Iran (Islamic Rep. of),22
2015,Argentina,Iraq,18
2015,Argentina,Israel,0
2015,Argentina,Italy,1
2015,Argentina,Kazakhstan,18
2015,Argentina,Kyrgyzstan,3
2015,Argentina,Lebanon,0
2015,Argentina,Liberia,51
2015,Argentina,Sri Lanka,37
2015,Argentina,Morocco,2
2015,Argentina,Mexico,1
2015,Argentina,The former Yugoslav Republic of Macedonia,9
2015,Argentina,Mali,11
2015,Argentina,Mauritania,1
2015,Argentina,Nigeria,44
2015,Argentina,Nicaragua,2
2015,Argentina,Pakistan,33
2015,Argentina,Peru,548
2015,Argentina,Philippines,0
2015,Argentina,Poland,0
2015,Argentina,Portugal,0
2015,Argentina,Paraguay,8
2015,Argentina,Palestinian,5
2015,Argentina,Romania,51
2015,Argentina,Russian Federation,62
2015,Argentina,Rwanda,1
2015,Argentina,Sudan,3
2015,Argentina,Senegal,47
2015,Argentina,Sierra Leone,39
2015,Argentina,El Salvador,13
2015,Argentina,Somalia,5
2015,Argentina,Syrian Arab Rep.,276
2015,Argentina,Chad,1
2015,Argentina,Togo,2
2015,Argentina,Turkmenistan,2
2015,Argentina,Tunisia,1
2015,Argentina,Turkey,13
2015,Argentina,Ukraine,44
2015,Argentina,United States of America,4
2015,Argentina,Venezuela (Bolivarian Republic of),1
2015,Argentina,Viet Nam,0
2015,Argentina,Stateless,6
2015,Argentina,Yemen,15
2015,Argentina,South Africa,2
2015,Argentina,Zimbabwe,2
2015,Armenia,Afghanistan,0
2015,Armenia,Azerbaijan,1501
2015,Armenia,Côte d'Ivoire,6
2015,Armenia,Congo,2
2015,Armenia,Georgia,8
2015,Armenia,Guinea,0
2015,Armenia,Iran (Islamic Rep. of),30
2015,Armenia,Iraq,1019
2015,Armenia,Kazakhstan,1
2015,Armenia,Lebanon,19
2015,Armenia,Mali,0
2015,Armenia,Nigeria,1
2015,Armenia,Palestinian,6
2015,Armenia,Russian Federation,1
2015,Armenia,Syrian Arab Rep.,16611
2015,Armenia,Turkey,2
2015,Armenia,Ukraine,109
2015,Armenia,Stateless,0
2015,Armenia,Yemen,3
2015,Armenia,South Africa,0
2015,Antigua and Barbuda,Syrian Arab Rep.,15
2015,Australia,Afghanistan,7785
2015,Australia,Angola,2
2015,Australia,Albania,66
2015,Australia,Andorra,0
2015,Australia,United Arab Emirates,5
2015,Australia,Argentina,1
2015,Australia,Armenia,3
2015,Australia,Azerbaijan,1
2015,Australia,Burundi,31
2015,Australia,Benin,1
2015,Australia,Burkina Faso,0
2015,Australia,Bangladesh,380
2015,Australia,Bahrain,92
2015,Australia,Bosnia and Herzegovina,0
2015,Australia,Belarus,3
2015,Australia,Brazil,4
2015,Australia,Brunei Darussalam,0
2015,Australia,Bhutan,4
2015,Australia,Botswana,1
2015,Australia,Central African Rep.,1
2015,Australia,Canada,0
2015,Australia,Chile,0
2015,Australia,China,2955
2015,Australia,Côte d'Ivoire,7
2015,Australia,Cameroon,55
2015,Australia,Dem. Rep. of the Congo,26
2015,Australia,Congo,12
2015,Australia,Colombia,132
2015,Australia,Cuba,2
2015,Australia,Cyprus,0
2015,Australia,Czech Rep.,1
2015,Australia,Germany,5
2015,Australia,Djibouti,3
2015,Australia,Dominica,0
2015,Australia,Denmark,0
2015,Australia,Algeria,12
