country,total_number,continent
Afghanistan,13162.1367,Asia
Iraq,2689.0069,Asia
Syrian Arab Rep.,2404.6584,Asia
Ethiopia,2309.4128,Africa
Somalia,1998.1191,Africa
Sudan,1585.1297,Africa
Viet Nam,1515.4642,North America
Angola,1301.7118,Africa
Rwanda,1285.9697,Africa
Burundi,1264.9097,Africa
Dem. Rep. of the Congo,1107.2889,South America
Mozambique,871.8777,Africa
Eritrea,850.3985,Africa
Liberia,843.3916,Africa
Bosnia and Herzegovina,837.9957,Europe
Myanmar,782.4535,Asia
Western Sahara,569.0093,Africa
South Sudan,547.2996,Africa
Palestinian,468.2821,Asia
Colombia,439.6238,South America
Croatia,419.162,Europe
Azerbaijan,406.5936,Europe
Sierra Leone,401.1778,Africa
China,385.1097,Asia
Serbia and Kosovo (S/RES/1244 (1999)),361.3451,Oceania
Sri Lanka,360.4413,Asia
Russian Federation,356.9957,Asia
Central African Rep.,330.0957,Africa
Chad,329.0278,Africa
Iran (Islamic Rep. of),301.2502,Asia
Uganda,274.7154,Africa
Turkey,266.6373,Asia
Lao People's Dem. Rep.,231.3562,Oceania
El Salvador,224.7796,North America
Bhutan,213.5187,Asia
Cambodia,212.6735,Asia
Armenia,183.4685,Europe
Ukraine,159.2573,Europe
Mali,143.5256,Africa
Philippines,143.3792,Asia
Mauritania,136.9199,Africa
Pakistan,133.5768,Asia
Nigeria,99.198,Africa
Guinea,98.7991,Africa
Guatemala,98.4998,North America
Nicaragua,97.1361,North America
Tajikistan,88.986,Asia
Togo,86.5224,Africa
Côte d'Ivoire,80.984,Africa
Namibia,79.7277,Africa
